time,open,high,low,close,volume
1672700400,11122.5,11150.0,11090.0,11091.75,2415
1672700700,11092.75,11106.5,11077.75,11085.0,1171
1672701000,11085.25,11088.5,11053.0,11056.75,1458
1672701300,11056.5,11059.0,11043.75,11051.0,984
1672701600,11050.5,11057.25,11044.0,11049.25,586
1672701900,11050.25,11057.0,11046.5,11046.75,496
1672702200,11047.75,11050.0,11037.5,11042.5,631
1672702500,11043.5,11046.0,11038.5,11045.0,361
1672702800,11045.5,11050.75,11044.5,11046.5,458
1672703100,11046.25,11049.75,11040.0,11043.0,405
1672703400,11042.5,11046.5,11041.0,11043.25,310
1672703700,11043.25,11054.0,11043.25,11052.25,445
1672704000,11052.25,11053.75,11045.0,11045.25,448
1672704300,11046.0,11048.25,11042.75,11043.0,265
1672704600,11042.75,11043.25,11013.0,11019.5,1504
1672704900,11019.5,11025.75,11014.75,11024.25,492
1672705200,11024.5,11025.5,11018.0,11023.25,455
1672705500,11022.25,11023.75,11015.25,11017.5,310
1672705800,11017.75,11028.25,11016.5,11028.0,413
1672706100,11027.5,11031.5,11025.5,11026.5,408
1672706400,11026.0,11028.5,11018.0,11019.5,401
1672706700,11019.0,11024.5,11015.25,11018.5,465
1672707000,11018.5,11021.75,11002.25,11006.5,790
1672707300,11007.0,11010.25,10995.25,10997.25,984
1672707600,10997.5,10997.5,10972.0,10983.25,1807
1672707900,10982.75,10983.5,10967.0,10974.75,1217
1672708200,10974.75,10979.0,10967.0,10975.75,639
1672708500,10975.75,10981.25,10972.0,10974.25,570
1672708800,10974.5,10974.5,10954.25,10956.75,1080
1672709100,10956.5,10959.75,10952.0,10958.5,627
1672709400,10958.0,10963.25,10954.5,10959.0,650
1672709700,10959.5,10964.0,10956.0,10960.5,416
1672710000,10960.25,10973.0,10959.0,10972.5,528
1672710300,10972.5,10977.0,10967.0,10973.0,460
1672710600,10973.75,10974.0,10964.5,10972.0,382
1672710900,10973.0,10989.0,10969.5,10985.5,805
1672711200,10985.25,10989.5,10978.0,10987.75,486
1672711500,10988.0,10988.75,10982.0,10984.0,219
1672711800,10984.5,10992.5,10979.75,10980.75,578
1672712100,10981.75,10988.5,10975.5,10986.25,430
1672712400,10987.5,10993.75,10986.25,10992.25,391
1672712700,10992.75,10994.25,10988.75,10991.75,304
1672713000,10992.25,10997.0,10988.75,10995.5,426
1672713300,10995.0,11010.0,10994.0,11008.25,919
1672713600,11008.5,11014.25,11005.0,11013.5,616
1672713900,11013.5,11015.5,11007.25,11010.5,378
1672714200,11009.75,11016.5,11008.5,11009.5,323
1672714500,11010.0,11011.25,11006.0,11009.5,250
1672714800,11009.5,11013.5,11005.25,11010.75,368
1672715100,11010.0,11018.0,11009.5,11013.0,393
1672715400,11013.0,11019.75,11013.0,11015.0,335
1672715700,11015.25,11017.5,11012.0,11014.75,201
1672716000,11014.5,11021.75,11014.25,11016.75,313
1672716300,11017.0,11021.0,11015.0,11019.5,210
1672716600,11020.0,11029.25,11016.25,11029.0,621
1672716900,11029.0,11029.25,11021.75,11022.5,330
1672717200,11023.25,11028.25,11021.0,11024.75,359
