voice_sig,n,wins,losses,be,win_rate,strike,avg_r,total_r,pf,avg_mfe,avg_mae
v2-|v6-,5,4,0,1,80.0,100.0,0.12,0.6,inf,0.74,-0.53
v1-|v12-|v15-|v5-|v6-,18,5,2,11,27.8,71.4,0.106,1.9,1.95,0.51,-0.35
v1+|v12+|v15+|v5+|v6+,18,7,2,9,38.9,77.8,0.072,1.3,1.65,0.77,-0.43
v1+|v12+|v6+,6,4,1,1,66.7,80.0,0.033,0.2,1.2,0.61,-0.52
v2+|v6+,21,15,4,2,71.4,78.9,0.012,0.25,1.12,0.88,-0.64
v1+|v12+|v15+|v5+,5,3,1,1,60.0,75.0,-0.02,-0.1,0.9,0.55,-0.61
v1-|v12-|v5-|v6-,30,13,7,10,43.3,65.0,-0.063,-1.9,0.73,0.52,-0.64
v1+|v6+,9,4,3,2,44.4,57.1,-0.067,-0.6,0.8,0.63,-0.55
v1-|v6-,10,4,2,4,40.0,66.7,-0.08,-0.8,0.6,0.49,-0.47
v1+|v12+|v5+|v6+,36,15,10,11,41.7,60.0,-0.119,-4.3,0.57,0.51,-0.53
