variant,date,setup,side,micro_mode,micro_confirmed,micro_reason,micro_confidence,micro_bars_waited,micro_refined_r,entry_px,stop,tp1,tp2,sl_dist,pm_final,regime,exit_px,exit_reason,pnl_r,pnl_dollars,mfe_r,mae_r
micro_strict_pm30,2019-11-06,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,2,5.17,8178.50,8186.75,8180.84,8170.46,8.25,46.2,RISK-ON,8176.02,trail_lock,0.300,4.95,1.12,-0.09
micro_strict_pm30,2019-11-21,ORB,short,strict,True,1m confirmed below OR+strong close,0.82,2,7.15,8259.00,8263.25,8256.11,8247.98,4.25,39.2,RISK-ON,8257.73,trail_lock,0.300,2.55,1.18,-0.35
micro_strict_pm30,2019-12-03,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,0,83.92,8189.75,8190.50,8178.08,8162.59,0.75,32.9,NEUTRAL,8189.75,tp1_then_be,0.500,0.75,16.33,-2.00
micro_strict_pm30,2019-12-11,ORB,long,strict,True,1m confirmed above OR+strong close,1.00,0,58.22,8430.75,8430.00,8408.47,8420.84,0.75,35.3,RISK-ON,8430.00,stop,-1.000,-1.50,0.00,-34.33
micro_strict_pm30,2019-12-18,ORB,long,strict,True,1m confirmed above OR+strong close,0.84,1,23.84,8634.75,8632.50,8640.06,8654.76,2.25,37.5,RISK-ON,8632.50,stop,-1.000,-4.50,0.22,-14.00
micro_strict_pm30,2020-01-08,ORB,long,strict,True,1m confirmed above OR+strong close,1.00,0,7.14,8922.75,8913.00,8911.60,8928.90,9.75,44.4,RISK-ON,8922.75,tp1_then_be,0.500,9.75,0.97,0.00
micro_strict_pm30,2020-01-08,EMA PB,long,strict,True,1m pin at EMA,0.85,4,4.81,8946.50,8944.00,8958.52,8964.52,2.50,30.1,NEUTRAL,8947.25,trail_lock,0.300,1.50,0.80,-0.60
micro_strict_pm30,2020-01-10,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,0,7.86,8989.25,8995.50,8994.37,8981.48,6.25,46.5,RISK-ON,8995.50,stop,-1.000,-12.50,0.00,-1.36
micro_strict_pm30,2020-01-15,ORB,long,strict,True,1m confirmed above OR+strong close,0.85,0,9.75,9083.00,9079.50,9086.93,9096.71,3.50,39.3,RISK-ON,9079.50,stop,-1.000,-7.00,0.36,-1.14
micro_strict_pm30,2020-02-03,ORB,long,strict,True,1m confirmed above OR+strong close,0.84,1,11.54,9119.00,9112.00,9130.20,9155.89,7.00,34.3,RISK-ON,9121.10,trail_lock,0.300,4.20,0.89,-0.04
micro_strict_pm30,2020-02-11,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,0,11.66,9537.75,9543.25,9524.95,9504.54,5.50,36.6,RISK-ON,9536.10,trail_lock,0.300,3.30,0.95,-0.05
micro_strict_pm30,2020-02-21,ORB,short,strict,True,1m confirmed below OR+strong close,0.77,1,15.61,9502.50,9510.50,9517.62,9493.92,8.00,35.8,NEUTRAL,9500.10,trail_lock,0.300,4.80,1.62,-0.09
micro_strict_pm30,2020-02-26,ORB,short,strict,True,1m confirmed below OR+strong close,1.00,0,14.90,8831.75,8845.00,8838.52,8785.75,13.25,37.3,NEUTRAL,8831.75,tp1_then_be,0.500,13.25,0.23,-1.17
micro_strict_pm30,2020-03-04,ORB,long,strict,True,1m confirmed above OR+strong close,1.00,0,10.60,8791.25,8781.75,8801.89,8831.65,9.50,30.1,RISK-ON,8794.10,trail_lock,0.300,5.70,0.79,-1.42
micro_strict_pm30,2020-11-18,ORB,long,strict,True,1m confirmed above OR+strong close,0.93,0,19.72,12017.75,12013.75,12002.24,12019.71,4.00,34.9,RISK-ON,12017.75,tp1_then_be,0.500,4.00,1.44,-0.81
