variant,date,side,entry_ix,exit_ix,entry_px,exit_px,stop,tp,exit_reason,pnl_ticks,pnl_dollars,bars_held
r0_real_baseline,2026-04-02,long,275,276,24138.75,24128.75,24128.75,24153.75,stop,-40.00,-20.00,1
r0_real_baseline,2026-04-07,long,345,346,24142.00,24157.00,24132.00,24157.00,take_profit,60.00,30.00,1
r0_real_baseline,2026-04-08,short,289,290,25054.50,25064.50,25064.50,25039.50,stop,-40.00,-20.00,1
r1_real_volfilter,2026-04-02,long,275,276,24138.75,24128.75,24128.75,24153.75,stop,-40.00,-20.00,1
r1_real_volfilter,2026-04-07,long,345,346,24142.00,24157.00,24132.00,24157.00,take_profit,60.00,30.00,1
r1_real_volfilter,2026-04-08,short,289,290,25054.50,25064.50,25064.50,25039.50,stop,-40.00,-20.00,1
r2_real_trend_morn,2026-03-23,long,91,92,24646.50,24661.50,24636.50,24661.50,take_profit,60.00,30.00,1
r2_real_trend_morn,2026-03-23,short,110,111,24615.25,24625.25,24625.25,24600.25,stop,-40.00,-20.00,1
r2_real_trend_morn,2026-03-25,long,42,43,24437.25,24427.25,24427.25,24452.25,stop,-40.00,-20.00,1
r2_real_trend_morn,2026-03-31,long,96,97,23505.75,23495.75,23495.75,23520.75,stop,-40.00,-20.00,1
r2_real_trend_morn,2026-03-31,short,120,122,23479.25,23464.25,23489.25,23464.25,take_profit,60.00,30.00,2
r2_real_trend_morn,2026-04-01,short,66,67,24145.25,24155.25,24155.25,24130.25,stop,-40.00,-20.00,1
r2_real_trend_morn,2026-04-02,long,275,276,24138.75,24128.75,24128.75,24153.75,stop,-40.00,-20.00,1
r2_real_trend_morn,2026-04-07,long,345,346,24142.00,24157.00,24132.00,24157.00,take_profit,60.00,30.00,1
r2_real_trend_morn,2026-04-08,short,289,290,25054.50,25064.50,25064.50,25039.50,stop,-40.00,-20.00,1
r2_real_trend_morn,2026-04-09,long,75,76,25009.75,24999.75,24999.75,25024.75,stop,-40.00,-20.00,1
r3_real_hard_pause,2026-03-23,long,91,92,24646.50,24661.50,24636.50,24661.50,take_profit,60.00,30.00,1
r3_real_hard_pause,2026-03-23,short,110,111,24615.25,24625.25,24625.25,24600.25,stop,-40.00,-20.00,1
