variant,date,setup,side,entry_5m_ix,entry_px,stop,tp1,tp2,sl_dist,pm_final,quant,red_team,regime,voice_agree,exit_px,exit_reason,pnl_r,pnl_dollars,bars_5m,mfe_r,mae_r
v3_0_fib_partial_pb,2019-11-06,ORB,short,38,8177.75,8220.43,8180.84,8170.46,42.68,46.2,-46.2,0.0,RISK-ON,10,8177.75,tp1_then_be,0.500,42.68,0,0.01,-0.28
v3_0_fib_partial_pb,2020-01-08,ORB,long,37,8915.25,8845.67,8911.60,8928.90,69.58,44.4,44.4,0.0,RISK-ON,7,8928.90,tp2_partial,0.598,83.23,0,0.24,0.00
v3_0_fib_partial_pb,2020-01-10,ORB,short,43,8994.50,9043.63,8994.37,8981.48,49.13,46.5,-46.5,0.0,RISK-ON,10,8994.50,tp1_then_be,0.500,49.13,0,0.11,-0.15
v3_0_fib_partial_pb,2021-01-15,ORB,short,19,12792.00,12933.34,12865.97,12848.75,141.34,46.2,-46.2,0.0,RISK-ON,9,12792.00,tp1_then_be,0.500,141.34,0,0.00,-0.22
v3_0_fib_partial_pb,2021-01-25,ORB,short,28,13411.75,13558.30,13464.71,13440.49,146.55,45.7,-45.7,0.0,RISK-ON,9,13411.75,tp1_then_be,0.500,146.55,0,0.08,-0.07
v3_0_fib_partial_pb,2021-01-29,ORB,short,51,12833.50,13137.87,12949.22,12899.57,304.37,47.2,-47.2,0.0,RISK-ON,9,12833.50,tp1_then_be,0.500,304.37,0,0.00,-0.20
v3_0_fib_partial_pb,2021-02-08,ORB,short,36,13612.50,13676.95,13612.63,13595.93,64.45,44.0,-44.0,0.0,RISK-ON,10,13595.93,tp2_partial,0.629,81.02,0,0.34,-0.00
v3_0_fib_partial_pb,2021-02-16,ORB,short,43,13719.25,13863.44,13783.88,13763.38,144.19,51.9,-51.9,0.0,RISK-ON,9,13719.25,tp1_then_be,0.500,144.19,0,0.01,-0.17
v3_0_fib_partial_pb,2021-12-01,ORB,short,53,16243.00,16358.72,16248.11,16219.30,115.72,41.2,-41.2,0.0,RISK-ON,10,16219.30,tp2_partial,0.602,139.42,1,0.26,-0.36
v3_0_fib_partial_pb,2021-12-09,ORB,short,63,16215.75,16416.91,16313.33,16286.08,201.16,42.2,-42.2,0.0,NEUTRAL,10,16215.75,tp1_then_be,0.500,201.16,0,0.05,-0.05
v3_0_fib_partial_pb,2021-12-28,ORB,short,48,16468.25,16600.72,16500.01,16473.63,132.47,44.7,-44.7,0.0,RISK-ON,10,16468.25,tp1_then_be,0.500,132.47,0,0.00,-0.16
v3_0_fib_partial_pb,2022-03-01,ORB,short,36,14085.00,14259.65,14126.50,14092.16,174.65,45.2,-45.2,0.0,RISK-ON,10,14085.00,tp1_then_be,0.500,174.65,0,0.10,-0.02
v3_0_fib_partial_pb,2022-03-08,ORB,long,45,13535.50,13206.89,13413.14,13466.42,328.61,44.2,44.2,0.0,RISK-ON,8,13535.50,tp1_then_be,0.500,328.61,0,0.05,-0.14
v3_0_fib_partial_pb,2023-02-01,ORB,long,69,12290.75,12085.05,12321.87,12381.82,205.70,40.2,40.2,0.0,RISK-ON,8,12085.05,stop,-1.000,-411.41,2,0.07,-1.05
v3_0_fib_partial_pb,2023-11-14,ORB,long,16,16258.75,15761.50,16106.17,16189.38,497.25,44.4,44.4,0.0,RISK-ON,8,16258.75,tp1_then_be,0.500,497.25,1,0.02,-0.83
v3_0_fib_partial_pb,2023-11-22,ORB,short,16,16059.00,16586.54,15939.08,15773.17,527.54,46.0,-46.0,0.0,RISK-ON,7,16063.00,timeout,0.000,0.00,20,0.10,-0.84
v3_0_fib_partial_pb,2024-01-02,ORB,short,15,16737.25,17100.66,16685.99,16581.67,363.41,50.5,-50.5,0.0,RISK-ON,8,16766.75,timeout,0.000,0.00,20,0.13,-0.94
v3_0_fib_partial_pb,2024-01-17,ORB,long,15,17128.25,16704.32,17136.59,17244.20,423.93,45.6,45.6,0.0,RISK-ON,8,16704.32,stop,-1.000,-847.87,1,0.00,-1.00
v3_0_fib_partial_pb,2024-02-13,ORB,short,76,17581.25,18108.31,17502.01,17347.78,527.06,43.8,-43.8,0.0,RISK-ON,8,17579.00,session_end,0.000,0.00,1,0.02,-0.45
